"","bats","temp","humidity","clouds","light","bugs"
"1",15,15.7515504024923,57.0181429724661,0.508754766808454,20.9746626181848,122
"2",64,25.7661027088761,65.6233689321326,0.512864392184882,19.8743110045821,216
"3",68,18.179538436234,57.9651861497774,0.603930065498569,10.1420660105162,195
"4",213,27.6603480800986,74.5033595001709,0.824960942779572,4.62351949437006,274
"5",368,28.8093456858769,67.6804907575806,0.687888996645827,6.22651902055946,357
"6",15,10.9111299877986,58.4934830099463,0.71540695150185,12.2397883271856,156
"7",138,20.5621097609401,52.818345739789,0.557026739588064,11.5537511420935,247
"8",247,27.8483808878809,70.7714496360613,0.730601127094534,3.20789310012953,285
"9",30,21.0287002893165,61.6479715085395,0.466276929191028,28.3798290054231,195
"10",100,19.1322947060689,60.2120025497888,0.730950084561026,5.02311186492214,173
"11",49,29.1366669069976,71.034864320797,0.448865497664425,34.7401127503865,286
"12",59,19.0666831238195,56.555065858273,0.830369359331311,2.85265605902797,129
"13",114,23.5514127090573,61.8853757907102,0.857017743654752,10.6909138177186,223
"14",71,21.4526680391282,56.3597911235927,0.737794064486926,3.46820384486771,157
"15",16,12.0584936533123,46.6995375209344,0.610603137670273,10.314893075461,135
"16",174,27.9964994080365,69.5141426150578,0.541499110815104,15.5431376171249,295
"17",50,14.9217546870932,57.1628035802403,0.748460756587232,1.92193323933587,152
"18",12,10.8411906706169,51.1062118042694,0.566620530091255,13.0206833455502,122
"19",43,16.558414385654,61.1697517250527,0.596642702264161,9.69647338018962,159
"20",550,29.0900729829445,79.3404964110803,0.704437458385893,11.1027622604626,417
"21",185,27.7907863212749,65.3356304909923,0.654772582667544,6.51416671821735,276
"22",193,23.856068123132,52.3102237449279,0.672789577876775,6.25970573329492,245
"23",274,22.8101362753659,67.8388288976772,0.787607313362311,2.82656440641233,280
"24",593,29.8853955324739,66.339391719562,0.836475332423812,0.887031176260338,387
"25",93,23.1141159823164,59.6740728999796,0.659808539331955,6.10384675396954,205
"26",219,24.1706093633547,69.2984662118382,0.60820332057136,10.9633924660935,289
"27",58,20.8813204942271,59.4574554589721,0.583068668986399,12.1533029639519,186
"28",117,21.8828404089436,55.7792518476709,0.744433959984152,8.50690636012688,199
"29",31,15.7831947458908,56.6897121446365,0.832225978694154,1.1916891172937,115
"30",1,12.9422729462385,52.2478161340433,0.39952717682999,56.4312330199905,108
"31",190,29.2604846507311,69.2893055802305,0.726875736136367,3.19583359153205,274
"32",313,28.0459809023887,69.9723829080204,0.805393757550097,1.15282677245268,304
"33",121,23.8141055684537,61.9608054094916,0.707985161762276,2.59131351514099,196
"34",124,25.9093483537436,69.1312310963377,0.701330436553177,14.3661798435874,259
"35",0,10.492273690179,49.3898408810852,0.435579945917473,49.4942241770315,74
"36",78,19.5559194218367,61.2148292414152,0.651189848542903,4.92156451387568,175
"37",117,25.1691907504573,70.6533858162041,0.516146984360469,18.2015427889567,275
"38",22,14.3281587166712,56.5040661708402,0.750903911417629,2.66943372928547,101
"39",34,16.363620152697,54.7339622250408,0.626806290978789,9.93490008032787,152
"40",49,14.6325157070532,60.3765537993087,0.722767137255638,4.26066209492591,162
"41",38,12.8560004476458,57.8235197274564,0.649368447771212,4.8523821797199,155
"42",73,18.2909267162904,61.0329115138308,0.809562195254764,2.19303964841944,150
"43",92,18.2744865259156,59.4681452014728,0.863076387697867,1.11866043851691,169
